"prefix"|"actor.id"|"folder.ref.id"|"sex"|"taker.location"|"religiousorg"|"socialorg"|"ostracized"|"otheraffiliation"|"otheraffiliationtext"|"sourcework"|"sourcefamily"|"sourcefriends"|"sourceother"|"sourceothertext"|"economicpoverty"|"economicdestroyed"|"economicacademic"|"economichealth"|"economictrauma"|"economicother"|"economic.other.text"|"neededreparations"|"needededasst"|"neededjob"|"neededrestjustice"|"neededretjustice"|"needed.other"|"needed.other.text"|"done.reconciliation.yes"|"done.reconciliation.no"|"done.reconciliation.na"|"know.perp.yes"|"know.perp.no"|"know.perp.na"|"willing.meet.perp.yes"|"willing.meet.perp.no"|"willing.meet.perp.na"|"howreconciliationff"|"howreconciliationreparations"|"howreconciliationeqrights"|"howreconciliationretjustice"|"howreconciliationpeaceprg"|"how.reconciliation.other.cb"|"howreconciliationothertext"|"govtreconstruction"|"govtjob"|"govtretjustice"|"govtgoodgov"|"govtrestjustice"|"govtforgiveregret"|"govtother"|"trc.mandate"|"trc.reparations"|"trc.ret.justice"|"trc.forgive.forget"|"trc.rest.justice"|"trc.academic.asst"|"trc.other.cb"|"trc.other.text"|"govt.other.cb"|"countyname"
"18"|"BAS"|288548|"BAS-00466"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"19"|"BAS"|277096|"BAS-00796"|"MALE"|"GRAND BASSA/NUMBER 1"|1|0|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|0|1|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"20"|"BAS"|230597|"BAS-00609"|"MALE"|"GRAND BASSA/NUMBER 2"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"21"|"BAS"|76983|"BAS-00495"|"MALE"|"GRAND BASSA"|0|1|0|0|""|0|1|0|0|""|0|0|0|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|1|0|0|0|1|0|0|0|0|1|0|""|0|0|0|0|0|0|"BY BUILDING HIGHER INSTITUTIONS IN OTHER COUNTIES."|0|0|0|0|0|0|0|""|1|"Grand Bassa"
"22"|"BAS"|77074|"BAS-00550"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|0|0|1|1|0|""|0|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|1|0|""|0|1|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"23"|"BAS"|51155|"BAS-00182"|"FEMALE"|"GRAND BASSA"|0|0|0|0|""|1|0|0|0|""|0|0|0|0|0|1|"N/A"|0|0|0|0|0|0|"N/A"|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|"N/A"|0|0|0|0|0|0|"N/A"|0|0|0|0|0|0|0|"N/A"|1|"Grand Bassa"
"24"|"BAS"|284779|"BAS-00658"|"MALE"|"GRAND BASSA/NUMBER 3"|0|1|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|0|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"25"|"BAS"|122183|"BAS-00313"|"FEMALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|0|0|0|1|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|1|0|0|1|0|1|0|0|0|0|0|""|0|0|0|0|0|0|"EDUCATIONAL ASSISTANCE"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"26"|"BAS"|150154|"BAS-00819"|"MALE"|"GRAND BASSA"|1|0|0|0|""|0|0|0|0|""|0|1|1|0|0|0|""|0|1|0|0|0|0|""|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|""|0|0|0|1|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"27"|"BAS"|244894|"BAS-00499"|"FEMALE"|""|0|1|0|0|""|1|0|0|0|""|0|0|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|1|0|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|0|"REPARATION"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"28"|"BAS"|51563|"BAS-00190"|"FEMALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|0|""|1|0|0|1|0|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|0|0|0|0|0|0|""|0|"Grand Bassa"
"29"|"BAS"|128221|"BAS-00695"|"MALE"|"GRAND BASSA/NUMBER 3/Gardour"|1|0|0|0|""|1|0|0|0|""|1|0|0|1|1|0|""|0|0|0|0|0|0|"MEDICAL ASSISTANCE"|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|1|0|0|1|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"30"|"BAS"|228153|"BAS-00618"|"MALE"|"GRAND BASSA/NUMBER 3/Jeremiah Town"|1|0|0|0|""|1|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|"UNITY"|0|0|1|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"31"|"BAS"|104757|"BAS-00147"|"FEMALE"|"GRAND BASSA/NUMBER 3/Buchanan"|0|1|0|0|""|0|1|0|0|""|0|1|0|0|0|0|""|0|0|0|0|0|0|""|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"32"|"BAS"|122998|"BAS-00293"|"FEMALE"|"MONTSERRADO/GREATER MONROVIA/Paynesville"|1|0|0|0|""|0|1|0|0|""|0|1|0|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|1|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"33"|"BAS"|281096|"BAS-00649"|"MALE"|"GRAND BASSA/NUMBER 3/Barseegiah"|1|0|0|0|""|0|0|0|0|""|1|0|0|0|0|0|""|0|0|0|0|0|0|"DEVELOPMENT"|1|0|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"34"|"BAS"|174800|"BAS-00521"|"MALE"|"GRAND BASSA/NUMBER 3"|0|1|0|0|""|1|0|0|0|""|0|0|0|0|1|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|1|""|0|0|0|1|0|0|0|""|0|"Grand Bassa"
"35"|"BAS"|10760|"BAS-00631"|"MALE"|""|1|0|0|0|""|1|0|0|0|""|1|0|0|1|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|"N/A"|0|1|0|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"36"|"BAS"|125060|"BAS-00265"|"FEMALE"|"GRAND BASSA/NUMBER 3/Buchanan"|0|0|0|0|""|0|0|0|0|""|0|0|0|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|1|0|0|1|0|1|0|0|0|0|0|""|0|0|0|0|0|1|""|1|0|0|0|0|0|0|"PEACE"|0|"Grand Bassa"
"37"|"BAS"|83034|"BAS-00556"|"MALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"38"|"BAS"|128356|"BAS-00681"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|1|"MEDICAL ASSISTANCE"|0|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|""|0|0|0|0|1|0|"REPARATIONS"|0|0|0|0|0|0|0|"RECOMMENDATION SHOULD REACH THE GOVERMENT."|1|"Grand Bassa"
"39"|"BAS"|281550|"BAS-00333"|"MALE"|"GRAND BASSA/NUMBER 3/Tarrbar Community"|1|0|0|0|""|0|0|0|0|""|0|0|1|0|0|0|""|0|0|1|0|0|0|""|1|0|0|0|1|0|1|0|0|0|0|0|0|1|0|""|0|0|0|0|0|0|"EDUCATIONAL ASSISTANCE"|0|0|0|0|0|0|0|""|1|"Grand Bassa"
"40"|"BAS"|122154|"BAS-00082"|"FEMALE"|"GRAND BASSA/NUMBER 3/Bannie Town"|1|0|0|0|""|0|1|0|0|""|1|1|0|0|1|0|""|0|0|0|0|0|0|""|0|0|1|0|0|1|0|0|1|1|0|1|0|1|0|""|0|0|0|1|1|1|""|1|1|1|1|0|0|0|""|0|"Grand Bassa"
"41"|"BAS"|77429|"BAS-00530"|"MALE"|"GRAND BASSA/NUMBER 3/Buchanan"|0|1|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|""|0|0|0|0|0|1|""|0|0|0|0|1|0|0|""|0|"Grand Bassa"
"42"|"BAS"|129378|"BAS-00349"|"FEMALE"|"GRAND BASSA/NUMBER 3/Jozohn2"|1|0|0|0|""|1|0|0|0|""|1|0|1|1|0|0|""|0|1|0|1|1|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|""|0|1|0|0|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"43"|"BAS"|242163|"BAS-00642"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|1|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"44"|"BAS"|77425|"BAS-00540"|"MALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"45"|"BAS"|247616|"BAS-00875"|"FEMALE"|"GRAND BASSA/NUMBER 3/Watco Camp"|1|0|0|0|""|0|0|0|1|"HAND OUT"|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|"LOVE ONE ANOTHER"|0|1|0|0|0|1|""|0|0|0|0|0|0|0|""|0|"Grand Bassa"
"46"|"BAS"|78504|"BAS-00534"|"FEMALE"|"GRAND KRU"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|0|0|0|0|0|0|"MEDICAL ASSISTANCE"|0|0|1|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|0|0|0|0|0|0|"COUNSEL THE LIBERIANS"|0|"Grand Bassa"
"47"|"BAS"|268364|"BAS-00761"|"MALE"|"GRAND BASSA/NUMBER 2/Tardeh Town"|1|0|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|"TOGETHERNESS"|1|0|0|0|0|0|""|0|0|0|0|0|0|0|"PROMOTE PEACE AMONG LIBERIANS"|0|"Grand Bassa"
"48"|"BAS"|279167|"BAS-00659"|"FEMALE"|"GRAND BASSA/NUMBER 2"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|0|0|0|0|0|0|"MEDICAL  ATTENTION"|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"49"|"BAS"|291427|"BAS-00828"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|1|0|0|0|1|1|0|0|0|0|0|""|0|0|0|0|0|0|"CARE OF VICTIMS WHOM THE WAR LEFT DISABLED."|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"50"|"BAS"|122200|"BAS-00310"|"MALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|1|0|0|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|0|""|0|0|0|0|1|0|0|"CARTER TO VICTIMS."|0|"Grand Bassa"
"51"|"BAS"|125041|"BAS-00109"|"FEMALE"|"GRAND BASSA"|0|0|0|0|""|0|0|0|0|""|1|0|0|0|0|0|""|0|0|0|0|0|0|""|0|0|1|0|0|1|0|0|1|0|1|0|0|0|0|""|0|0|1|0|0|0|""|0|0|1|0|0|0|0|""|0|"Grand Bassa"
"52"|"BAS"|233602|"BAS-00694"|"MALE"|""|0|1|0|0|""|0|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"53"|"BAS"|138830|"BAS-00443"|"MALE"|"GRAND BASSA/NUMBER 3/Barseegiah"|1|0|0|0|""|1|0|0|0|""|0|0|0|0|0|1|"DESTROYED PROPERTY"|0|0|0|0|0|0|"URGENT MEDICAL ATTENTION"|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|0|"LET THE GOVERNMENT ENFORCE LAW TO STOP LAWLESSNESS"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"54"|"BAS"|132448|"BAS-00179"|"FEMALE"|"GRAND BASSA/NUMBER 3/Buchanan"|1|0|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|1|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|1|0|0|0|0|0|""|0|"Grand Bassa"
"55"|"BAS"|281308|"BAS-00755"|"FEMALE"|"GRAND BASSA/NUMBER 2"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|"IF LIBERIANS COME TOGETHER AND LOVE ONE ANOTHER"|0|0|0|0|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"56"|"BAS"|289487|"BAS-00647"|"FEMALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"57"|"BAS"|123050|"BAS-00048"|"MALE"|"GRAND BASSA"|0|0|0|0|"N/A"|1|0|0|0|""|0|0|0|0|0|0|"N/A"|0|0|1|0|0|0|""|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|""|0|1|0|0|0|0|""|0|0|0|0|0|0|0|"N/A"|0|"Grand Bassa"
"58"|"BAS"|51399|"BAS-00541"|"MALE"|"GRAND BASSA/NUMBER 3/Gardour"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|0|1|0|0|1|0|0|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"59"|"BAS"|10857|"BAS-00407"|"MALE"|"GRAND BASSA/NUMBER 3"|0|1|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"60"|"BAS"|49269|"BAS-00549"|"MALE"|"GRAND BASSA"|1|0|0|0|""|0|1|0|0|""|0|0|1|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"61"|"BAS"|42944|"BAS-00856"|"MALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|0|1|0|0|""|0|1|0|0|0|0|""|0|0|0|0|0|0|"MEDICAL ASSISTANCE"|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|0|"EQUAL RIGHTS & OPPORTUNITY"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"62"|"BAS"|104697|"BAS-00017"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|0|1|0|0|""|0|0|0|0|1|1|"TRACING THE WHERE ABOUTS OF P06"|0|0|0|1|1|0|""|0|0|1|0|0|1|0|0|1|1|0|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|1|0|0|""|0|"Grand Bassa"
"63"|"BAS"|104624|"BAS-00364"|"MALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|1|0|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|1|0|0|0|0|0|""|0|"Grand Bassa"
"64"|"BAS"|76469|"BAS-00572"|"MALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|1|0|0|1|0|0|1|0|0|0|0|0|""|0|1|0|1|0|0|""|0|0|0|0|0|0|0|""|0|"Grand Bassa"
"65"|"BAS"|34304|"BAS-00459"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|1|1|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|""|0|0|1|0|0|0|""|1|0|1|0|0|0|0|""|0|"Grand Bassa"
"66"|"BAS"|10705|"BAS-00399"|"FEMALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|0|0|0|0|0|0|""|0|1|0|0|1|0|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|1|""|0|0|0|0|0|0|0|""|0|"Grand Bassa"
"67"|"BAS"|309336|"BAS-00815"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|1|""|0|0|0|1|0|0|0|""|0|"Grand Bassa"
"68"|"BAS"|253950|"BAS-00648"|"MALE"|"GRAND BASSA/NUMBER 3"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|""|0|0|0|0|0|0|"EDUCATIONAL ASSISTANCE"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"69"|"BAS"|299361|"BAS-00751"|"MALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|""|0|0|0|0|0|1|""|1|0|0|0|0|0|0|"DEVELOPMENT LIKE ROAD NETWORK"|0|"Grand Bassa"
"70"|"BAS"|121465|"BAS-00241"|"FEMALE"|"GRAND BASSA/NUMBER 1"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|1|0|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"71"|"BAS"|122387|"BAS-00051"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|0|0|0|1|"TRADING"|0|0|0|1|0|0|""|0|0|0|0|0|0|"MEDICAL ASSISTANCE"|0|0|1|0|0|1|0|0|1|0|0|0|0|1|0|""|0|0|0|0|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
